title,주소,Latitude,Longitude
경산 백천월드2점,"경북 경산시 경청로221길 10 (백천동, 경산백천월드메르디앙 상가동)",35.8056598,128.7382419
경산 사동점,경북 경산시 사동 662-1,35.8127448,128.7624807
경산 삼주해법수학점,"경북 경산시 진량읍 봉황길 72 (북리, 경산4차삼주봉황타운)",35.883693,128.825429
경산 정평해법수학,경북 경산시 대학로12길 29 (정평동),35.8314182,128.7294955
경산 코오롱점,"경북 경산시 정평길 30 (정평동, 정평역하늘채 RIVER PARK)",35.8394396,128.7274866
경산 팰리스 부영2단지점,"경북 경산시 삼성현로91길 10 (사동, 팰리스부영2단지)",35.8135782,128.7522108
경산 하양금락3점,경북 경산시 하양읍 대학로305길 22 (금락리),35.9142199,128.8190338
경산더샵 해법수학점,경북 경산시 중산동 635-1,35.8287393,128.7197866
경주 건천청림학원점,경북 경주시 건천읍 단석로 2037-2 (건천리),35.8500797,129.1076088
경주 경주초점,경북 경주시 황성로 25 (황성동),35.8654949,129.2141703
경주 금장점,경북 경주시 현곡면 안현로 38 (금장리),35.875391,129.1943241
경주 동천1호,경북 경주시 탈해로 20-3 (동천동),35.847928,129.2293495
경주 동천지금공부점,경북 경주시 백률로57번길 19 (동천동),35.8583077,129.2255697
경주 외동점,"경북 경주시 외동읍 외남로 1737-15 (입실리, 경주 외동 미소지움 아파트)",35.7206327,129.3410184
경주 유림학원점,경북 경주시 용담로92번길 42-1 (황성동),35.8672642,129.2142969
경주 지금공부학원,경북 경주시 안강읍 산대리 2396-6,36.0024514,129.1961061
경주 충효1호점,"경북 경주시 충효1길 22-10 (충효동, 삼정그린뷰경주본가아파트)",35.8419226,129.1913899
경주 현곡점,경북 경주시 현곡면 용담로 548-12,35.8914721,129.1734514
경주 황남초교실점,경북 경주시 용황구획4길 39 (용강동),35.8831561,129.2277028
경주 황성지금공부학원점,경북 경주시 용담로104번길 29-2 (황성동),35.8669359,129.2119322
고령 다산점,경북 고령군 다산면 상곡2길 3 (상곡리),35.8257788,128.4474764
고양 e해법수학 풍산초교점,경기 고양시 일산동구 숲속마을로 49-28 (풍동),37.6659616,126.7969298
고양 e해법수학창릉초점,경기 고양시 덕양구 덕수천2로 150 (동산동),37.6492452,126.8952703
고양 가좌3단지점,"경기 고양시 일산서구 가좌2로 53 (가좌동, 가좌마을3단지아파트)",37.6894596,126.7207968
고양 강선마을2단지,"경기 고양시 일산서구 강선로 116 (주엽동, 강선마을2단지아파트)",37.668375,126.764401
고양 강촌3단지점,"경기 고양시 일산동구 강송로 153 (마두동, 강촌마을3단지아파트)",37.6527708,126.7821251
고양 고양초교점,"경기 고양시 덕양구 읍내로 25 (고양동, 우방유쉘아파트)",37.7006003,126.8998345
고양 대화교실점,"경기 고양시 일산서구 대화2로 102 (대화동, 대화타운)",37.6729136,126.7337957
고양 로켓수학점,경기 고양시 일산서구 하이파크1로 77 (덕이동),37.6980422,126.7578003
고양 백마5단지점,"경기 고양시 일산동구 경의로 333 (마두동, 백마마을5단지아파트)",37.6589678,126.7912697
고양 백석흰돌3단지점,"경기 고양시 일산동구 백석로 26 (백석동, 흰돌마을3단지아파트)",37.6434926,126.7836166
고양 별빛9단지점,"경기 고양시 덕양구 화신로 319 (화정동, 문정빌딩)",37.6326079,126.8263165
고양 빠져드는해법수학점,"경기 고양시 일산동구 태극로 11 (장항동, 일산 한류월드 유보라 더 스마트)",37.6629396,126.7517813
고양 삼송리슈빌점,"경기 고양시 덕양구 동세로 125 (원흥동, 삼송마을 15단지 계룡리슈빌)",37.6522855,126.882202
고양 삼송신원점,"경기 고양시 덕양구 권율대로 889 (신원동, 파스텔 시티 2)",37.6716526,126.880044
고양 삼송초교점,"경기 고양시 덕양구 세솔로 149 (원흥동, 삼송마을엘에이치16단지)",,
고양 생각하는 수학점,경기 고양시 일산동구 강촌로 24 (백석동),37.64629,126.779079
고양 서정5단지점,"경기 고양시 덕양구 충경로 156 (행신동, 서정마을5단지아파트)",37.6161192,126.8471002
고양 성사캠퍼스점,경기 고양시 덕양구 호국로 851,37.6618246,126.8599831
고양 센트럴 아이파크1점,"경기 고양시 일산동구 중산로 70 (중산동, 일산센트럴아이파크)",37.6784316,126.7827785
고양 스마트해법 DMC리버포레자이,경기 고양시 덕양구 대덕산로 21 (덕은동),37.5828101,126.8669434
고양 스마트해법 덕은한강꿈꾸는교실점,경기 고양시 덕양구 대덕산로 20 (덕은동),37.5828101,126.8669434
고양 스마트해법샘터학원,"경기 고양시 덕양구 충장로123번길 19 (행신동, 효경빌딩)",37.6240916,126.8325805
고양 스마트해법지축초점,경기 고양시 덕양구 오부자1길 20 (지축동),37.6518527,126.9143241
고양 스마트해법한류초점,경기 고양시 일산동구 연리지로 51,37.6599008,126.7549393
