title,주소,Latitude,Longitude,지번
푸르넷공부방,전북 익산시 고봉로 244,35.9536259,126.9695341,(지번) 영등동 753-11
푸르넷공부방,전북 전주시 완산구 고사평8길 6,35.8368063,127.1106076,(지번) 서신동 927-1
푸르넷공부방,경북 김천시 시청6길 18,36.1413451,128.1143919,(지번) 신음동 1281-9
푸르넷공부방,강원특별자치도 강릉시 수문길21번길 13,37.7562295,128.9020263,(지번) 옥천동 110-4
푸르넷 서희공부방,전북 군산시 지곡로 52,35.9549469,126.710047,(지번) 지곡동 612
푸르넷공부방,대구 수성구 청수로25길 110,35.8417309,128.6179939,(지번) 황금동 880-10
푸르넷공부방,대구 동구 신암로20길 30,35.8786817,128.6118246,(지번) 신암동 472-16
푸르넷공부방,대구 수성구 범안로4길 39,35.8155837,128.6408316,(지번) 범물동 1369-4
7단지푸르넷공부방,충북 청주시 상당구 중고개로 288,36.6294851,127.5085332,(지번) 금천동 275
금성출판사푸르넷공부방,충북 충주시 성서5길 11,36.9726638,127.9305227,(지번) 성서동 66
푸르넷공부방,대구 북구 한강로 58,35.897068,128.5158345,(지번) 사수동 909
푸르넷공부방,대구 북구 매전로 46-13,35.9097747,128.5474386,(지번) 태전동 1148
푸르넷공부방,대구 북구 한강로 58,35.897068,128.5158345,(지번) 사수동 909
푸르넷공부방,대구 북구 매전로 46-13,35.9097747,128.5474386,(지번) 태전동 1148
푸르넷공부방,경북 영천시 상록1길 46,35.9744892,128.9411337,(지번) 야사동 335-16
푸르넷공부방,대구 북구 한강로 58,35.897068,128.5158345,(지번) 사수동 909
푸르넷공부방,대구 북구 매전로 46-13,35.9097747,128.5474386,(지번) 태전동 1148
푸르넷공부방,경북 영천시 상록1길 46,35.9744892,128.9411337,(지번) 야사동 335-16
푸르넷공부방,대구 달서구 월배로5길 76 214동 305호,35.8179056,128.5124434,(지번) 유천동 612
푸르넷공부방,경북 경산시 경청로218길 6-9,35.800948,128.7387538,(지번) 백천동 594-6
푸르넷공부방,대구 달서구 상화로5길 33,35.8105306,128.518722,(지번) 진천동 775
푸르넷공부방 부송우미점,전북 익산시 선화로69길 45-1,35.957102,126.9932535,(지번) 부송동 1040-1
푸르넷 정쌤 공부방,전북 전주시 덕진구 솔내9길 17,35.8621562,127.1248449,(지번) 송천동1가 107-198
푸르넷공부방,대구 남구 현충로26길 7,35.8440814,128.5805584,(지번) 대명동 1710-9
푸르넷공부방,대구 달서구 송현로8길 90,35.8253305,128.5513654,(지번) 송현동 1963-10
푸르넷공부방,대구 북구 침산남로32길 21,35.8859217,128.5926826,(지번) 침산동 198-12
푸르넷공부방,경북 포항시 북구 중흥로161번길 5 204호,36.0188958,129.3541191,(지번) 죽도동 658-11
푸르넷공부방,대구 달서구 월배로68길 66,35.8236585,128.5501678,(지번) 송현동 1954-29
푸르넷공부방,대구 수성구 동대구로8길 60-33,35.8323352,128.6273376,(지번) 지산동 1034-8
푸르넷공부방,대구 달성군 구지면 과학마을로3길 1 2층,35.6563363,128.4169374,(지번) 구지면 응암리 1205-7
푸르넷공부방,대구 북구 한강로 58,35.897068,128.5158345,(지번) 사수동 909
푸르넷공부방,대구 북구 매전로 46-13,35.9097747,128.5474386,(지번) 태전동 1148
푸르넷공부방,경북 영천시 상록1길 46,35.9744892,128.9411337,(지번) 야사동 335-16
푸르넷공부방,경남 진주시 모덕로 98-1,35.1823264,128.1084703,(지번) 상대동 280-22
푸르넷 공부방,울산 남구 돋질로401번길 3,35.5442894,129.3488405,(지번) 삼산동 176-8
푸르넷공부방,경남 진주시 모덕로 114 2층,35.1827294,128.1100587,(지번) 상대동 272-3
푸르넷공부방,경북 포항시 남구 연일읍 연일중앙로 34-3,35.9969938,129.3477513,(지번) 연일읍 생지리 153-1
어룡 푸르넷공부방,광주 광산구 소촌로152번길 38 126동 105호,35.1562215,126.7953754,(지번) 소촌동 290
푸르넷영어공부방,광주 동구 지호로 58-1,35.147612,126.9350462,(지번) 지산동 186-5
푸르넷공부방 침산점,대구 북구 옥산로17길 43 2층,35.8880098,128.5862114,(지번) 침산동 430-10
와룡 푸르넷공부방,대구 달서구 이곡동로 32 와룡타운 상가203호,35.8532092,128.5115521,(지번) 이곡동 1256
푸르넷공부방 중구점,대구 중구 남산로7길 107,35.8611075,128.5783482,(지번) 남산동 2635-41
용봉동푸르넷공부방,광주 북구 반룡로 46 407호,35.1783557,126.9029157,(지번) 용봉동 369-1
푸르넷공부방 강동초점,대구 동구 동호로7길 10 202호,35.8679935,128.7310251,(지번) 신서동 555-9
