"행정구역별",2017,2018,2019,2020,2021,2022
"이천시",37905,36984,35941,35366,34662,34431
"안성시",54641,52456,50161,48661,46546,44715
"김포시",62498,66010,69238,70984,75558,76041
"화성시",149152,155883,162172,167632,169297,169767
"광주시",41695,42782,43455,43496,43960,43681
"양주시",38774,39321,40057,41195,42271,42382
"포천시",30179,29217,27841,26939,26360,25859
"여주시",21728,21122,20385,19705,18389,17356
"연천군",4269,4135,3894,3732,3628,3560
"가평군",6479,6218,5974,5737,5563,5482
"양평군",12935,12686,12390,11989,11906,11749
"강원특별자치도",314163,303234,293979,281853,271648,263694
"춘천시",77105,75119,73411,71910,70335,68697
"원주시",85962,84159,82858,78758,76267,74666
"강릉시",53234,51796,50011,48437,46243,44525
"동해시",13363,11772,11347,10979,10774,10450
"태백시",7216,7025,6614,6184,5003,4533
"속초시",9885,9490,9084,8674,8621,8519
"삼척시",17708,17278,16958,16178,15631,15195
"홍천군",7331,6960,6530,6192,5948,5696
"횡성군",6633,6513,6361,6220,6112,5627
"영월군",4944,4597,4567,4313,4158,4078
"평창군",3917,3721,3434,3151,3046,2923
"정선군",3576,3418,3208,2998,2889,2745
"철원군",5342,5039,4719,4480,4303,4113
"화천군",2566,2419,2313,2229,2129,2123
"양구군",2727,2629,2560,2457,2372,2326
"인제군",3389,3178,3051,2860,2825,2826
"고성군",6993,5964,4855,3799,2949,2712
"양양군",2272,2157,2098,2034,2043,1940
"충청북도",325384,316285,307046,300846,294256,288044
"충주시",49123,47886,46418,45711,44957,44210
"제천시",31041,30035,28989,28120,26752,25532
"청주시",179159,173433,168478,165608,163445,161150
"보은군",3024,2880,2783,2595,2520,2439
"옥천군",6751,6445,6127,5783,5588,5395
"영동군",10260,9863,9330,8956,8489,8268
"진천군",8881,9489,10369,10529,10883,11052
"괴산군",7763,7934,7784,7652,7273,6861
"음성군",22074,21352,20072,19389,18034,16964
"단양군",2498,2420,2321,2185,2084,1973
"증평군",4810,4548,4375,4318,4231,4200
"충청남도",470322,461969,453418,445589,438346,431093
"천안시",171234,169562,167238,164241,161507,159421
"공주시",33092,31777,30799,29965,29090,28162
"보령시",13422,13164,12529,12019,11568,10430
"아산시",90894,90480,90280,90659,90679,91883
"서산시",32044,31421,30807,30457,30492,30197
"논산시",21320,19966,19055,18149,17425,16558
"계룡시",7514,7421,7182,6907,6821,6672
"당진시",26727,26418,26209,25616,25167,24663
"금산군",17584,17159,16746,16602,16169,15381
"부여군",7057,6672,6416,6120,5833,5500
"서천군",4923,4663,4321,4145,4051,3926
"청양군",4311,4145,3905,3731,3679,3577
"홍성군",26377,25814,25048,24405,23471,22691
"예산군",8067,7727,7551,7458,7454,7323
