"행정구역(시군구)별(1)",행정구역(시군구)별(2),2017,2017,2018,2018,2019,2019,2020,2020,2021,2021
"행정구역(시군구)별(1)",행정구역(시군구)별(2),급여총계,급여총계,급여총계,급여총계,급여총계,급여총계,급여총계,급여총계,급여총계,급여총계
"행정구역(시군구)별(1)",행정구역(시군구)별(2),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원)
"충남",아산시,120935,4649850,125439,4878239,128723,5012543,135691,5460335,142299,6189329
"충남",예산군,22024,618693,22559,667882,23117,703036,23324,717268,23555,772412
"충남",천안시,253009,9207333,263292,9761768,272761,10302347,276582,10743558,282301,11620517
"충남",청양군,7427,214388,7803,229246,7610,235160,7781,244613,7882,256403
"충남",태안군,14497,454345,14921,482294,15511,509431,15702,528886,15814,559021
"충남",홍성군,29479,918636,30695,998778,31583,1059146,32353,1121066,32723,1175489
"세종",소계,119289,4941608,133042,5710701,143648,6352334,155557,7077618,165244,7855026
"광주",소계,486820,16194312,503692,17311829,522020,18431140,533009,19257131,545863,20516786
"광주",광산구,145338,4783200,151005,5116642,157345,5474694,159796,5726068,163352,6106716
"광주",남구,67375,2340539,70293,2541730,72046,2673078,74567,2836085,76675,3032344
"광주",동구,28388,949175,31305,1105388,34291,1247189,36542,1358721,38685,1522431
"광주",북구,143316,4507653,146324,4739791,150778,5024059,153001,5223481,156646,5520116
"광주",서구,102403,3613745,104765,3808279,107560,4012119,109103,4112775,110505,4335180
"전북",소계,534823,16970546,549001,18034234,566545,19057443,580604,19821605,591154,20949342
"전북",고창군,11706,341531,11858,360399,12082,380465,12175,393646,12607,412658
"전북",군산시,82620,2769001,84818,2879155,86597,2967283,88289,3058065,90752,3276933
"전북",김제시,21602,572392,21969,612900,22560,641577,22550,657944,22937,699163
"전북",남원시,19794,553638,20255,589628,21446,639372,21872,668099,22079,701227
"전북",무주군,5621,157997,5919,170376,6091,181302,6071,188328,6270,199500
