행정구역(시군구)별(1),행정구역(시군구)별(2),2017년 평균급여(백만원),2018년 평균급여(백만원),2019년 평균급여(백만원),2020년 평균급여(백만원),2021년 평균급여(백만원),2022년 평균급여_예측값(백만원)
서울특별시,중구,43.23658981967587,44.88645963276651,46.20291878172589,47.31592953213961,49.49932250692661,51.574272
서울특별시,중랑구,27.821793440934066,29.01890944484804,30.31618691948073,31.197192636828174,32.82343168527379,35.024017
인천광역시,강화군,29.56930430164631,30.52878608813101,31.443354824727745,32.52486187845304,33.96803088803089,34.45583
인천광역시,계양구,27.9132925040973,29.107041840571213,29.86431723377116,30.308307426597583,31.585665847249302,33.63131
인천광역시,남동구,30.576750029796194,31.779684145142596,32.59659619409348,33.181314199469554,34.4800626096763,36.40043
인천광역시,동구,27.922778068796926,29.188081524147098,29.9338413267593,30.336805862099407,31.78465099391849,33.446697
인천광역시,미추홀구(남구),27.05511973291934,28.14734824453653,28.984788630373107,29.392165638560783,30.77686070083985,32.31258
인천광역시,부평구,29.81823235130628,30.88675101356802,31.74099374947208,32.22763293780429,33.53636294512736,35.26764
인천광역시,서구,31.849344584350945,33.28130502474376,34.25358199286999,34.979256070610845,36.87157375787206,38.834595
인천광역시,연수구,41.65704361946863,43.30392861297585,44.41945777580015,45.42762168433588,47.53164503496672,50.513332
인천광역시,옹진군,35.87827380952381,37.11949025487257,37.75264176216699,38.1281865585168,39.51321647189761,39.099575
인천광역시,중구,31.922863234059047,33.40242231193748,34.462565803950774,34.30088889621848,36.05061837996694,37.78203
경기도,가평군,29.695484712017063,30.860133477839256,31.571937206667744,32.10401211994567,32.85115440476787,34.16897
경기도,고양시,36.97441594650316,38.10177870107814,38.8819569555026,39.53593212544182,41.27199171422415,43.115555
경기도,과천시,53.54000564121851,55.14606538895152,57.6382033364301,61.312889013217706,64.94032940329403,70.855675
경기도,광명시,34.44557881282108,36.01062609332411,37.74180583120884,39.22746524028078,41.43598829404947,44.81228
경기도,광주시,29.20338934449733,30.52699160893151,31.55160027808533,32.559826732518324,34.478313743851054,37.25587
경기도,구리시,32.71197503650053,33.83780422308279,35.007982962352294,36.00577906509417,37.880982367758186,39.373367
경기도,군포시,35.86852968334148,36.709027130234006,37.26917213782112,37.98838828319979,39.74239667719346,41.452957
경기도,김포시,33.329413648879225,34.6053318974406,35.902335965946435,36.54304704847916,38.46527901234568,41.124763
경기도,남양주시,30.90363321877852,32.26728413377983,33.27626830949856,34.383734712569364,35.92096913758292,37.8867
경기도,동두천시,25.619174942704355,26.802513464991023,27.848986308174734,28.133770792003663,29.164504239954454,30.851788
경기도,부천시,30.49272965532014,31.698687633010167,32.719519456841354,33.3794147014953,34.897199721012186,37.30238
경기도,성남시,45.01919099493221,46.58859125769728,47.95461517966388,50.18555826176132,54.27149054373225,50.537724
경기도,수원시,39.27030982137774,40.96780308103108,41.534654322927366,43.144098810613,45.88722988131076,48.541885
경기도,시흥시,29.64916454874817,30.79893914983269,32.105592206727955,32.7672346644962,34.463235831888525,36.756832
경기도,안산시,29.800073033383946,30.91583469383149,32.02073958344794,32.584515049682786,33.83294280941121,35.80848
경기도,안성시,29.90398550724637,31.17801243791477,32.01219901981675,32.78471553484072,34.205103005103005,36.157253
경기도,안양시,37.15595175621948,38.68083495137082,39.77492945642688,40.94158863118522,43.06600938449736,45.8712
경기도,양주시,26.83252452930257,28.087526918983144,29.28527842227378,30.17605137442243,31.580077384113498,33.97114
경기도,양평군,33.9184581171238,35.044095400560046,35.86946487368065,36.50626850078356,38.11419503911361,40.457905
경기도,여주시,28.699789784671324,30.05629658150216,31.16274624329634,32.297479689568355,33.54861721634724,35.929794
