전라북도,김제시,9099,8659,8249,7802,7660,7330
전라북도,완주군,25770,24999,24104,23296,22253,21274
전라북도,진안군,2128,2023,1977,1952,1912,1767
전라북도,무주군,2463,2359,2308,2187,2122,2040
전라북도,장수군,2281,2169,2043,1937,1883,1823
전라북도,임실군,2979,2990,3002,3190,3144,2995
전라북도,순창군,2717,2627,2540,2454,2364,2277
전라북도,고창군,6418,6096,5718,5380,5245,5031
전라북도,부안군,5394,5036,4696,4451,4318,4108
전라남도,목포시,45315,43616,42416,41082,39208,38072
전라남도,여수시,42427,41147,39695,38287,37514,36892
전라남도,순천시,59714,57974,56331,54811,53570,52197
전라남도,나주시,23906,24179,24217,24122,24073,23677
전라남도,광양시,23270,22366,21343,20310,19517,18703
전라남도,담양군,6444,6153,5829,5595,5355,5105
전라남도,곡성군,7442,7246,6992,6593,6158,5849
전라남도,구례군,2358,2182,2048,1971,1900,1847
전라남도,고흥군,4775,4564,4373,4196,3996,3762
전라남도,보성군,3857,3649,3378,3191,3036,2915
전라남도,화순군,7487,7056,6628,6221,5994,5891
전라남도,장흥군,3718,3471,3302,3105,2961,2820
전라남도,강진군,3236,3123,2979,2892,2839,2775
전라남도,해남군,6822,6424,6043,5810,5607,5489
전라남도,영암군,13897,13526,12720,12242,11287,10606
전라남도,무안군,24755,24288,24083,23743,24260,24011
전라남도,함평군,2911,2773,2651,2534,2411,2269
전라남도,영광군,5946,5652,5375,5102,4900,4683
전라남도,장성군,4876,4642,4424,4245,4155,3972
전라남도,완도군,4869,4746,4676,4514,4425,4289
전라남도,진도군,2846,2730,2640,2493,2429,2330
전라남도,신안군,2211,2154,2096,2023,1985,1869
경상북도,포항시,80610,77975,75791,74246,73053,71720
경상북도,경주시,48984,46988,44805,43600,42125,41174
경상북도,김천시,22952,22393,21739,21060,20637,20281
경상북도,안동시,36722,35838,34594,33986,32559,31250
경상북도,구미시,91651,89791,87089,85268,83938,82114
경상북도,영주시,22861,22040,21261,20643,19562,19156
경상북도,영천시,10207,10091,9901,9638,9391,9315
경상북도,상주시,10986,10502,10012,9588,9344,9141
경상북도,문경시,8757,8292,7908,7567,7293,7056
경상북도,경산시,136673,132729,129339,127761,124401,121105
경상북도,군위군,1236,1175,1141,1113,1045,1023
경상북도,의성군,2996,2790,2591,2460,2443,2384
경상북도,청송군,1687,1590,1511,1408,1335,1279
경상북도,영양군,1381,1277,1176,1127,1075,1021
경상북도,영덕군,2760,2589,2496,2381,2317,2215
경상북도,청도군,3620,3411,3272,3224,3145,3037
경상북도,고령군,2553,2445,2306,2204,2138,2040
경상북도,성주군,2990,2860,2780,2691,2559,2471
경상북도,칠곡군,19968,18645,18141,17816,17565,17103
경상북도,예천군,4345,4406,5097,5471,5613,5652
경상북도,봉화군,2323,2218,2134,2058,2057,1988
경상북도,울진군,5000,4824,4562,4353,4213,4062
경상북도,울릉군,650,641,597,556,547,520
경상남도,진주시,87681,85080,82841,80852,78709,76175
경상남도,통영시,17974,17491,16993,16457,16031,15553
경상남도,사천시,13616,13280,12985,12601,12551,12376
경상남도,김해시,99794,97536,95451,94853,93129,90465
경상남도,밀양시,10472,10065,9773,9614,9589,9361
경상남도,거제시,41963,41427,40782,40166,40081,39775
경상남도,양산시,53020,54772,55019,54953,55393,55278
경상남도,창원시,186956,182244,177016,171038,167931,162731
경상남도,의령군,1955,1865,1784,1679,1649,1609
경상남도,함안군,8088,7848,7519,7302,7031,6794
경상남도,창녕군,6024,5799,5651,5368,5280,5149
경상남도,고성군,5234,5132,5030,4838,4729,4574
경상남도,남해군,5563,5227,4956,4747,4711,4605
경상남도,하동군,3524,3363,3165,3005,2860,2701
경상남도,산청군,2793,2691,2606,2533,2443,2324
경상남도,함양군,3782,3610,3412,3270,3215,3124
경상남도,거창군,10768,10512,10110,9747,9415,9189
경상남도,합천군,3249,3093,2943,2787,2648,2504
제주특별자치도,제주시,97083,96692,95829,94534,93747,91703
제주특별자치도,서귀포시,19880,19950,19660,19356,19732,20053
